,Date Created,User,Tweet
22,2022-12-31 11:53:05+00:00,ervin_larasati,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/SM358o4gGj"
23,2022-12-31 10:58:54+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
24,2022-12-31 01:42:05+00:00,qospangg,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/Z51vWvR2Ce"
25,2022-12-30 19:49:20+00:00,Orlezns,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/kFVYm1VJeV"
26,2022-12-30 18:31:19+00:00,ofit_dj,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/2g9OGH8qDO"
27,2022-12-30 15:57:39+00:00,ivih_queen,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/dvSWZLOJcZ"
28,2022-12-30 14:23:55+00:00,AbudHendra,@republikaonline Puan mendingan maju.. Dukung puan 2024
29,2022-12-30 12:02:47+00:00,intip_solo,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Capres PDIP
https://t.co/OZKa6PnxSR"
30,2022-12-30 12:00:32+00:00,Inurdina1,"Dukung Puan agar maju menjadi capres 2024 nanti guys, bismillah lancar Puan Capres PDIP https://t.co/igMtVpfSVA"
31,2022-12-30 12:00:02+00:00,xavieraharjo,"jika PDIP mengusung Puan untuk maju dalam pemilihan tahun 2024 mendatang, banyak yg dukung Puan Capres PDIP https://t.co/4O3Abay2Pa"
32,2022-12-30 12:00:02+00:00,kasuarisaja,"Pengamat memberikan pesan agar harus mempersiapkan diri di Pilpres 2024 kepada Puan yang akan diusung oleh partainya. Puan Capres PDIP
Dukung selalu semoga berjalan dengan lancar https://t.co/4WVnyZQN2l"
33,2022-12-30 12:00:00+00:00,Indahnda11,"Ketua DPR dipastikan akan menjadi salah satu kandidat pada pemilihan presiden 2024 yang diusung langsung oleh PDI Perjuangan.
Banyak yg dukung Bu Puan
 Puan Capres PDIP https://t.co/HQQHNqOnHj"
34,2022-12-30 11:58:11+00:00,HerlinDude,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Capres PDIP
https://t.co/Xq8tVsSxUE"
35,2022-12-30 04:53:39+00:00,kulturpoop_,"Udah pose ganteng-ganteng cantik-cantik, eh di 2024 fotonya beredar di internet dengan tambahan ""Dukung Bu Puan"" atau ""Pak Luhut Idolaku"""
36,2022-12-29 20:10:14+00:00,Thursdajy,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/edDGa0PQyL"
37,2022-12-29 16:55:10+00:00,58O94,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/QErzutHIoK"
38,2022-12-29 14:43:32+00:00,siipplahh,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/Cx5Bk9W6fj"
39,2022-12-29 11:57:55+00:00,nmeh0,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/GGwGf4fVEH"
40,2022-12-29 05:43:39+00:00,adhafakara,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/YPKQWmqSth"
41,2022-12-29 01:38:29+00:00,rizwanme3,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Harapan Rakyat
https://t.co/ssdWaFeHYJ"
42,2022-12-28 23:13:55+00:00,ofit_dj,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/6Y5x36ywch"
43,2022-12-28 14:17:45+00:00,WawanHector,"Keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung.

Puan Harapan Rakyat
https://t.co/zkVg84IkQ0"
44,2022-12-28 11:54:06+00:00,alviadty,"Presiden Jokowi memberikan tanggapan terkait siapa sosok yang akan ia dukung maju di Pilpres 2024. Jokowi telah memberi sinyal dukungan kepada Puan Maharani untuk maju di 2024.

Puan Harapan Rakyat
https://t.co/mG3PFaM9bi"
45,2022-12-28 09:52:41+00:00,novividiant,"dari Fajar sampai 2024 siap dah dukung puan

#WayV_Phantom
BRIN
Mixue
winwin
Fajar
Gakpo
Casemiro
Maret
28 Desember
#Casemiro
Badai
Jabodetabek
Hobi
2 HARI
Liverpool
minghao
Luka
Taeyong
Dingin https://t.co/kmIzCehKWi"
46,2022-12-27 09:58:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
47,2022-12-27 03:28:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
48,2022-12-26 14:58:58+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
49,2022-12-26 09:35:22+00:00,rizwanme3,@MbakPuan_2024 wahh benar2 banyak yg dukung Puan tuk jd next presiden
50,2022-12-26 02:28:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
51,2022-12-25 13:58:57+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
52,2022-12-25 01:28:55+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
53,2022-12-24 19:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
54,2022-12-24 14:19:35+00:00,bemyheal,"keberadaan Lingkar PUAN akan terus ada meski Pemilu 2024 nanti telah terlalui. Sebab sosok Ibu Puan sebagai pemimpin bangsa dalam apapun peran dan tugas yang diembannya kelak, perlu kita dukung. https://t.co/qcobUp1AuE"
55,2022-12-24 06:58:58+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
56,2022-12-24 00:28:54+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
57,2022-12-23 18:28:53+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
58,2022-12-23 15:48:16+00:00,MbakPuan_2024,"Karya Anak Bangsa Mendunia

Di Semarang, tepatnya Kec. Genuk, Mbak Puan kunjungi industri furnitur yg sudah berdiri sejak 1997. Pelanggannya juga dari Amerika, Asia, sampai eropa. Dari artis Hollywood sampai Vatikan. Dukung terus produk-produk anak bangsa!

Puan Maharani https://t.co/MMKnmoMGdc"
59,2022-12-23 11:58:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
60,2022-12-22 23:29:02+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
61,2022-12-22 17:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
62,2022-12-22 10:58:57+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
63,2022-12-22 04:58:58+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
64,2022-12-22 02:24:45+00:00,BarwiasariReza,"@never_alonely Sy dukung 100% bu Puan mencalonkan diri sbg capres 2024..semangat bu! 
*tp pas pencoblosan terserah sy mo pilih yg mana.."
65,2022-12-21 22:28:53+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
66,2022-12-21 22:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraY4mU"
67,2022-12-21 12:00:03+00:00,SafitriInf,Udah makin banyak aja deklarasi mendukung Puan Nomor Satu untuk jadi Capres. PDIP Tetap Tiga harus segera ambil sikap nih biar suara kader tidak terpecah. mari dukung puan capres 2024 https://t.co/QPN8PTCnxa
68,2022-12-21 12:00:03+00:00,tamita4m,"Dukung Puan Nomor Satu di capres 2024, PDIP Tetap Tiga https://t.co/TRapBICGBf"
69,2022-12-21 12:00:00+00:00,Kinanti_din,"Setuju gak nih kalo tetap Puan Nomor Satu meskipun PDIP Tetap Tiga di hasil undian parpol yg ikutan pemilu 2024?
Dukung selalu semoga berjalan lancar https://t.co/9Y4376QNbn"
70,2022-12-21 09:58:57+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
71,2022-12-21 09:58:56+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
72,2022-12-20 21:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraGsYk"
73,2022-12-20 21:28:52+00:00,BadanHukumKita,"Salah satu cara agar kita dapat menghargai orang lain adalah dengan membayangkan bagaimana hidup kita tanpa dirinya. Jangan ragu, 2024 ntar kita dukung Prabowo Puan untuk Indonesia semakin baik. #PrabowoPuan #PrabowoPuan2024 #PenerusJokowi #IndonesiaDamai https://t.co/AZfLraYCcs"
74,2022-12-20 13:51:03+00:00,khojan_x_x,"@ekowboy2 Tanda2 ANIES-PUAN akan berpasangan besok 2024

@PDI_Perjuangan lagi ngitung untung rugi,tapi tandanya udah ada,ganjar terlihat dilepeh

dah mulai kritik PJ pilihan jkw,dan tdk mendukung 3 periode

Untungnya pdip dukung anies,peluang puan akan menang tinggi.menang banyak"
