Unnamed: 0,Date Created,User,Tweet
20,2022-06-14 15:10:52+00:00,MartinusButarb1,"Dan artinya pula tdk ada alasan bicara amandemen pasal UUD 45 ttg periode jabatan presiden. Yg msh bicara 3 periode patut dianggap sabotase pemilu. Dan MPR wajib tolak wacana tsb.

Puan: Tahapan Pemilu 2024 Resmi Diluncurkan, Tak Ada Bahas Penundaan https://t.co/eDiNhoHx9K"
21,2022-06-04 00:19:04+00:00,anies_RI1_2024,"Tolong pak @aniesbaswedan tolak Ganjar dan Puan. Jika pak Anies ingin bertarung, sebaiknya duet dengan kader partai lain. Menang bisa Indonesia baru
Kalah akan terhormat
PDIP sebaiknya dijadikan oposisi 2024. https://t.co/29N0ZVFfg4"
22,2022-05-31 08:47:04+00:00,haluanharian,"Puan Minta Polemik Penundaan Pemilu 2024 Dihentikan, Pengamat: Jokowi Tegaskan Tolak Penundaan https://t.co/cbXE5Z6x6r"
23,2022-05-23 05:45:26+00:00,Indopolitika,"‘Demi’ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di Pemilu 2024 https://t.co/uDoedZiLtS"
24,2022-05-23 05:45:20+00:00,Indopolitika,"‘Demi’ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di Pemilu 2024 https://t.co/uDoedZjjjq via @Indopolitika"
25,2022-05-11 13:44:42+00:00,redaksijakarta2,Tolak Tunda Pemilu 2024 Puan Dinilai Sebagai Negarawan https://t.co/BunIW6ZNC1
26,2022-04-29 06:54:48+00:00,LarosMedia,"Tegas! Puan Maharani Tolak Penundaan Pemilu 2024
https://t.co/2TcOMLksmg"
27,2022-04-13 07:00:00+00:00,Giandraarshaka,"Ibu puan Maharani ini sangat peduli nasip rakyat ya #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/cE4EucNLNo"
28,2022-04-09 05:41:50+00:00,berri_setiawan,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
29,2022-04-09 05:41:20+00:00,berri_setiawan,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
30,2022-04-08 21:44:03+00:00,bobbysetyabudi,"Keberadaan masjid At-Tauifq yang dibangun Puan Maharani di kawasan Lenteng Agung, Jakarta, dinilai sebagai bentuk komunikasi positif ketua DPR itu ke kalangan umat Islam.  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
31,2022-04-08 21:42:30+00:00,boby_sure,Ketua DPR RI Puan Maharani mengusulkan agar IPU membentuk task force (satgas) yang bertugas untuk mendorong terciptanya solusi damai atas konflik yang terjadi antara kedua negara. https://t.co/I8BOR9po5a #JokowiBersamaPuan Tolak Tunda Pemilu 2024
32,2022-04-08 21:42:27+00:00,boby_sure,"“Selain mengadopsi Deklarasi Nusa Dua, sidang IPU ke-144 juga menyepakati Emergency Item dalam rangka memberikan solusi atas konflik Rusia dan Ukraina.” – Puan Maharani https://t.co/I8BOR9po5a #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
33,2022-04-08 21:42:25+00:00,boby_sure,"“Bahagia sekali rasanya bisa ikut menorehkan sejarah dalam membangun komitmen dan kerja sama global guna mengatasi perubahan iklim dan berupaya menciptakan suatu dunia yang sehat, tenteram dan sejahtera.” – Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
